"frame","time","face_prob","face_id","pitchF0","segment_id","segment_start","segment_end","track","speaker_id","text_token_id","text_token","text_token_start","text_token_end","match_id","FaceRectX","FaceRectY","FaceRectWidth","FaceRectHeight","AU01","AU02","AU04","AU06","AU07","AU10","AU12","AU14","AU15","AU17","AU23","AU24","fl1","fl2","fl3","fl4","fl5","fl6","fl7","fl8","fl9","fl10","fl11","fl12","fl13","fl14","fl15","fl16","fl17","fl18","fl19","fl20","fl21","fl22","fl23","fl24","fl25","fl26","fl27","fl28","fl29","fl30","fl31","fl32","fl33","fl34","fl35","fl36","fl37","fl38","fl39","fl40","fl41","fl42","fl43","fl44","fl45","fl46","fl47","fl48","fl49","fl50","fl51","fl52","fl53","fl54","fl55","fl56","fl57","fl58","fl59","fl60","fl61","fl62","fl63","fl64","fl65","fl66","fl67","fl68"
0,0,0.997,28,NA,0,0,0,NA,"",0,"",0,0,0,257.008,51.599,343.476,165.986,0.187,0.972,0.004,0.564,0.8,0.649,0.981,0.642,0.257,0.001,0.002,0,"252.13542753 105.86324501","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,0.04,0.999,28,218.879,0,0,0,NA,"",0,"",0,0,0,257.504,52.616,342.692,165.027,0.189,0.972,0.004,0.561,0.8,0.626,0.982,0.624,0.24,0.001,0.001,0,"253.10410762 106.72563189","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2,0.08,0.999,44,192.503,0,0,0,NA,"",0,"",0,0,0,255.188,54.481,339.21,164.812,0.192,0.974,0.003,0.623,0.835,0.543,0.988,0.647,0.222,0.001,0.001,0,"253.97247 105.30943739","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3,0.12,0.998,44,165.997,0,0,0,NA,"",0,"against",0.08,0.58,0,253.885,54.475,340.046,168.526,0.145,0.964,0.003,0.63,0.853,0.62,0.987,0.638,0.222,0.001,0.001,0,"254.9282093 106.87378168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4,0.16,0.999,44,145.025,0,0,0,NA,"",0,"against",0.08,0.58,0,257.694,52.101,343.593,170.198,0.192,0.972,0.003,0.616,0.839,0.58,0.987,0.669,0.219,0.001,0.001,0,"254.49464649 107.0019002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5,0.2,0.999,44,148.853,0,0,0,NA,"",0,"against",0.08,0.58,0,253.401,54.453,339.793,167.858,0.18,0.969,0.003,0.654,0.827,0.643,0.985,0.681,0.24,0.001,0.001,0,"255.89318866 107.27086973","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6,0.24,1,28,212.388,0,0,0,NA,"",0,"against",0.08,0.58,0,259.512,56.208,341.644,164.31,0.192,0.97,0.002,0.553,0.813,0.62,0.977,0.681,0.292,0.001,0.002,0,"256.83843021 106.28544658","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7,0.28,0.999,39,203.554,0,0,0,NA,"",0,"against",0.08,0.58,0,261.061,57.044,341.648,162.698,0.225,0.965,0.003,0.552,0.85,0.702,0.973,0.652,0.332,0.001,0.002,0,"258.5034003 106.34329391","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8,0.32,1,39,203.998,0,0,0,NA,"",0,"against",0.08,0.58,0,265.214,57.182,345.977,164.944,0.223,0.971,0.002,0.62,0.874,0.783,0.972,0.669,0.381,0.001,0.002,0,"259.41336302 107.04160917","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9,0.36,1,39,212.929,0,0,0,NA,"",0,"against",0.08,0.58,0,266.151,59.173,345.105,163.265,0.234,0.976,0.002,0.636,0.859,0.791,0.975,0.721,0.432,0.001,0.002,0,"259.82554699 107.30277205","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
10,0.4,0.999,39,236.948,0,0,0,NA,"",0,"against",0.08,0.58,0,265.608,57.758,344.89,162.455,0.262,0.972,0.002,0.687,0.867,0.795,0.978,0.647,0.33,0.001,0.001,0,"259.48873878 106.30400085","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
11,0.44,0.999,39,270.016,0,0,0,NA,"",0,"against",0.08,0.58,0,264.945,57.94,345.389,164.134,0.231,0.973,0.002,0.704,0.858,0.798,0.979,0.674,0.376,0.001,0.002,0,"259.63727647 106.84575403","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
12,0.48,1,39,NA,0,0,0,NA,"",0,"against",0.08,0.58,0,264.224,57.868,345.455,164.457,0.261,0.976,0.002,0.704,0.858,0.817,0.979,0.606,0.343,0.001,0.002,0,"259.0290004 106.03080285","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
13,0.52,1,39,NA,1,0.498,20.495,0,"SPEAKER_00",0,"against",0.08,0.58,0,266.122,58.398,345.605,163.659,0.208,0.972,0.002,0.748,0.847,0.832,0.98,0.537,0.341,0.001,0.002,0,"260.15543246 106.4902153","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
14,0.56,1,39,NA,1,0.498,20.495,0,"SPEAKER_00",0,"against",0.08,0.58,0,266.25,58.694,345.233,163.345,0.223,0.975,0.002,0.73,0.837,0.82,0.98,0.543,0.323,0.001,0.002,0,"260.55257189 106.58186811","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15,0.6,1,39,NA,1,0.498,20.495,0,"SPEAKER_00",0,"",0,0,0,265.45,61.113,344.337,162.546,0.247,0.976,0.002,0.715,0.837,0.802,0.982,0.54,0.309,0.001,0.002,0,"260.79544165 108.11573595","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
16,0.64,1,39,283.123,1,0.498,20.495,0,"SPEAKER_00",0,"",0,0,0,265.912,61.32,344.522,162.629,0.25,0.976,0.002,0.69,0.836,0.809,0.981,0.589,0.335,0.001,0.002,0,"260.49776711 108.493132","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
17,0.68,0.94,16,277.812,1,0.498,20.495,0,"SPEAKER_00",1,"it",0.64,0.72,0,101.325,65.523,117.953,86.61,0.131,0.879,0.008,0.766,0.734,0.908,0.973,0.665,0.088,0.003,0.013,0,"101.4634179 73.21953043","101.68434767 75.88491645","102.13087074 78.63693434","103.07471797 81.18148774","104.82129854 83.24827069","107.19041714 84.7047497","109.91017377 85.74269611","112.74568051 86.29312384","115.16923606 86.34525204","116.74681807 85.68420428","117.37417012 84.22258455","117.7767486 82.55435586","118.09994441 80.6814183","118.39378417 78.80549294","118.60656649 76.94565189","118.55257452 75.12523556","118.18243253 73.50488806","108.60046881 71.05054575","110.05226773 70.35180876","111.64633584 69.97750582","113.21823388 70.08313563","114.56523567 70.49020645","116.93582064 70.77593426","117.36195982 70.30948479","117.86624497 69.98509924","118.34886199 69.87353387","118.68998963 70.21154009","116.13062364 72.41871062","116.729626 73.96942306","117.33789843 75.44365114","117.98818535 76.94361037","114.91836333 78.46974385","115.86439508 78.74329108","116.78051251 78.85523915","117.47405434 78.63182366","117.93384415 78.17914975","110.1158427 72.71011144","111.37856019 72.16741106","112.41234469 72.0448561","113.18437922 72.73554531","112.3844794 73.04433033","111.4074356 73.06203809","116.5413081 72.53725138","117.15423059 71.97026306","117.79271525 71.87613666","118.14888954 72.40760931","117.80403435 72.76490325","117.21579409 72.77507642","113.21076751 81.26864219","114.75720853 80.60501719","116.1926465 80.08125687","116.84222746 80.23442084","117.35996836 80.04226398","117.73250109 80.44269705","117.74641621 81.02732867","117.6242981 81.42949158","117.22586274 81.79087543","116.66492826 81.90138656","115.93965465 81.86920667","114.67682952 81.59611881","113.6411587 81.25622535","116.03178585 80.87978733","116.71823305 80.9070493","117.19577944 80.84178704","117.6678409 80.99209213","117.19181031 80.90113378","116.69691038 80.93232107","116.02152067 80.89661264"
17,0.68,0.869,41,277.812,1,0.498,20.495,0,"SPEAKER_00",1,"it",0.64,0.72,0,522.343,88.708,537,107.643,0.091,0.992,0.003,0.919,0.897,0.578,0.97,0.9,0.089,0,0.009,0,"521.61852244 95.54376757","521.60886742 97.2441293","521.74886626 99.00029385","522.06629041 100.73071671","522.6136378 102.28711891","523.45808679 103.64887857","524.54480469 104.80649531","525.74022663 105.71663642","527.27718979 106.12528706","529.03077674 105.99704206","530.87577713 105.4919703","532.73464239 104.71261048","534.36082387 103.50631595","535.51739025 101.8404367","536.26548195 99.8880471","536.79403484 97.84683561","537.19700134 95.75680578","521.94731781 94.13621402","522.64330196 93.67442346","523.59306064 93.56617165","524.68308812 93.68356711","525.73449153 93.96910918","529.53093791 93.83494508","530.79909921 93.57529277","532.17308331 93.47171229","533.53528714 93.76365626","534.65457189 94.4654541","527.42821318 95.90138543","527.25343722 96.99570525","527.06548679 98.01625144","526.87404948 99.05423629","525.75691801 100.32176459","526.36931193 100.5288676","527.04925889 100.62521899","527.90305537 100.5279814","528.75971109 100.36297619","522.98774561 96.2058714","523.93199289 95.92989892","524.87091088 95.9300679","525.72426426 96.3763966","524.79805243 96.70893526","523.84006205 96.66924822","530.08763897 96.43103534","531.05202937 95.98012972","532.07646477 96.04592752","533.13148272 96.41239399","532.03377903 96.85248065","531.00983608 96.81854427","524.80241209 102.79833508","525.62030667 102.42295563","526.40072864 102.15140557","526.96332896 102.27811956","527.57234007 102.15136802","528.67655885 102.41889906","529.91422772 102.7901082","528.76683718 103.41162539","527.67884576 103.75577104","526.96332359 103.80470955","526.28726852 103.72715294","525.54564309 103.39799011","525.12197745 102.86382818","526.34300429 102.73524201","526.9529413 102.80585814","527.59731197 102.73170686","529.58404565 102.7746222","527.6897822 102.92119098","527.03379703 102.97502613","526.41270578 102.9159081"
18,0.72,0.95,16,156.072,1,0.498,20.495,0,"SPEAKER_00",0,"",0,0,0,101.466,65.581,117.934,86.481,0.106,0.895,0.006,0.73,0.741,0.884,0.971,0.719,0.108,0.004,0.005,0,"101.22120643 71.96888685","101.48008132 74.48393106","101.90932983 77.01263547","102.74095052 79.38711286","104.38562238 81.30820155","106.63593197 82.65636206","109.22421718 83.64791036","111.89450765 84.26471949","114.08448124 84.38461065","115.52109027 83.78208518","116.16916919 82.57438898","116.72039533 81.14538312","117.22784424 79.48581457","117.59896541 77.75532484","117.83232713 75.99036098","117.93481731 74.24257159","117.80209208 72.64626801","108.44640577 70.99203289","109.92418194 70.53891063","111.45652199 70.30983686","112.93166184 70.4540813","114.20873427 70.81289411","116.64394283 71.03455007","117.05329442 70.57284892","117.51339579 70.16731381","117.96296978 69.89230543","118.41884398 70.01413643","115.65795445 72.44859576","116.22881317 73.85742843","116.81689644 75.20276427","117.45157743 76.57730341","114.47280312 77.9412353","115.31740808 78.13431978","116.08620667 78.20772886","116.63617039 78.04077506","117.02095175 77.69710064","109.79590917 72.58191586","111.10559487 72.16990769","112.13260913 72.05458581","112.808676 72.70401478","112.05751204 73.06179166","111.09254265 73.05670083","116.13754058 72.39884019","116.68370986 71.82844281","117.24749589 71.69669867","117.55702043 72.10544765","117.25136781 72.56301224","116.72109032 72.61345863","112.74034047 80.33587694","114.19667149 79.9150157","115.57331347 79.47990417","116.13071585 79.59991336","116.50894904 79.43824172","116.73420215 79.79894876","116.6747334 80.24765849","116.6012671 80.70719957","116.23032236 81.05953455","115.80377603 81.16095185","115.21439815 81.11932516","114.06663799 80.81132412","113.13403869 80.37194848","115.31925821 80.13146043","115.88511252 80.16425371","116.2134614 80.1111424","116.6603961 80.2238822","116.25668907 80.26391029","115.90585732 80.27838826","115.35720134 80.23599863"
